variable,units,sensor_name,value,is_flagged,timestamp
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,15.0,False,2023-05-30T13:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-30T13:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-30T13:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-30T16:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-30T17:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-31T07:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-31T08:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-31T09:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-05-31T09:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-31T09:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-05-31T14:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-01T15:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-02T07:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-02T07:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-02T08:15:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-02T09:00:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-02T11:45:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,1.0,False,2023-06-02T13:30:00
Walking,People,PER_PEOPLE_THECORESQUARE_JUNCTION_TO_THECOREMID,2.0,False,2023-06-03T10:45:00
